"id","cancelled"
121950,"Data Entry Error"
128131,"Passenger"
128132,"Passenger"
128662,"Passenger"
129066,"Passenger"
129420,"Self"
129421,"No Driver"
130049,"No Driver"
130050,"No Driver"
130464,"No Pilot"
130465,"Other Agency"
130466,"Other Agency"
130467,"Other Agency"
130521,"Passenger"
130522,"Passenger"
130523,"Passenger"
130524,"Passenger"
130530,"Self"
130531,"Self"
130609,"Weather"
130610,"Weather"
130619,"Weather Other Leg"
130620,"Weather"
130622,"Weather Other Leg"
130700,"No Driver"
130734,"Passenger"
130784,"Passenger"
130785,"Passenger"
130818,"Weather"
130819,"Passenger"
130820,"No Driver"
130821,"Weather"
130823,"Passenger"
130824,"Passenger"
130832,"Passenger"
130833,"Passenger"
130834,"Passenger"
130835,"Passenger"
130853,"Passenger"
130854,"Passenger"
130878,"Passenger"
130879,"Passenger"
130904,"No Driver"
130905,"Passenger"
130906,"Passenger"
130958,"Weather"
130983,"No Driver"
130985,"No Driver"
130988,"Passenger"
130989,"Passenger"
130994,"Weather"
131021,"Passenger"
131022,"Passenger"
131023,"Passenger"
131024,"Passenger"
131025,"Weather"
131026,"Weather"
131027,"Weather"
131028,"Weather"
131035,"Weather"
131036,"Weather"
131037,"Weather"
131038,"Weather"
131039,"Weather"
131040,"Weather"
131069,"Passenger"
131070,"Passenger"
131071,"Passenger"
131117,"No Driver"
131118,"No Driver"
131120,"Passenger"
131121,"Passenger"
131122,"Passenger"
131123,"Passenger"
131124,"Weather"
131125,"Weather"
131126,"Weather"
131127,"Weather Other Leg"
131128,"Passenger"
131129,"Passenger"
131130,"Passenger"
131131,"Passenger"
131134,"No Driver"
131167,"No Driver"
131168,"No Driver"
131198,"Data Entry Error"
131200,"Data Entry Error"
131202,"Data Entry Error"
131219,"Other Agency"
131220,"Other Agency"
131221,"Other Agency"
131222,"Other Agency"
131225,"Data Entry Error"
131241,"Weather"
131242,"Weather Other Leg"
131243,"Data Entry Error"
131245,"Weather"
131248,"No Driver"
131263,"Weather"
131264,"Weather"
131265,"Weather"
131266,"No Driver"
131273,"Weather"
131274,"Passenger"
131277,"Weather"
131278,"Weather"
131287,"Weather"
131289,"Self"
131290,"Weather"
131310,"Passenger"
131311,"Passenger"
131312,"Passenger"
131313,"Passenger"
131316,"No Driver"
131317,"Passenger"
131319,"No Pilot"
131320,"Weather"
131328,"Passenger"
131329,"Passenger"
131350,"Weather"
131351,"Weather Other Leg"
131352,"Passenger"
131353,"Passenger"
131356,"No Driver"
131382,"Passenger"
131385,"Data Entry Error"
131386,"Data Entry Error"
131400,"Requester"
131401,"Requester"
131413,"No Driver"
131423,"Self"
131424,"Other Agency"
131425,"Other Agency"
131426,"Other Agency"
131431,"No Driver"
131432,"No Driver"
131436,"No Driver"
131447,"Passenger"
131478,"Weather"
131479,"Weather"
131480,"No Pilot"
131481,"No Pilot"
131487,"Passenger"
131488,"Passenger"
131489,"Passenger"
131490,"Passenger"
131491,"Passenger"
131492,"Passenger"
131493,"Passenger"
131494,"Passenger"
131495,"Passenger"
131496,"Passenger"
131497,"Passenger"
131498,"Passenger"
131499,"Passenger"
131500,"Passenger"
131501,"Passenger"
131502,"Passenger"
131511,"Weather"
131512,"Passenger"
131514,"Weather"
131515,"Passenger"
131516,"Passenger"
131517,"Passenger"
131518,"Passenger"
131519,"Weather"
131520,"Passenger"
131525,"Passenger"
131526,"Passenger"
131527,"Passenger"
131528,"Passenger"
131534,"No Driver"
131535,"No Driver"
131536,"Weather"
131537,"Weather"
131538,"Weather"
131539,"Weather"
131541,"No Driver"
131542,"No Driver"
131546,"No Driver"
131547,"Passenger"
131548,"Mechanical"
131549,"Mechanical"
131550,"No Driver"
131554,"Passenger"
131555,"Passenger"
131556,"Passenger"
131557,"Passenger"
131558,"Mechanical"
131559,"Mechanical"
131560,"Mechanical"
131561,"Mechanical"
131567,"No Driver"
131568,"No Driver"
131570,"Weather"
131571,"No Driver"
131572,"No Driver"
131573,"Weather Other Leg"
131575,"Passenger"
131576,"Passenger"
131577,"Passenger"
131578,"Passenger"
131579,"Passenger"
131580,"Weather"
131581,"Weather"
131582,"No Driver"
131587,"Passenger"
131588,"Passenger"
131589,"Passenger"
131590,"Passenger"
131591,"Passenger"
131592,"Passenger"
131593,"Passenger"
131594,"Passenger"
131597,"No Driver"
131598,"No Driver"
131601,"Passenger"
131602,"Passenger"
131603,"Passenger"
131604,"Passenger"
131611,"Passenger"
131612,"Passenger"
131613,"Passenger"
131614,"Passenger"
131615,"No Pilot"
131616,"No Pilot Other Leg"
131617,"Weather"
131618,"Weather Other Leg"
131619,"Passenger"
131620,"Passenger"
131621,"Passenger"
131622,"Passenger"
131623,"Passenger"
131624,"Passenger"
131625,"Passenger"
131626,"Passenger"
131627,"No Pilot"
131628,"No Driver"
131629,"Passenger"
